Code,Product label,Exported value in 2020,Exported value in 2021,Exported value in 2022,Exported value in 2023,Exported value in 2024,"average"
'TOTAL,All products,233553703,299288393,353149561,312964855,330045621,305800426.6
'01,Live animals,209917,234175,203152,241753,241713,226142
'02,Meat and edible meat offal,32695,54967,61057,79023,49640,55476.4
'03,"Fish and crustaceans, molluscs and other aquatic invertebrates",619296,680921,663661,652930,567123,636786.2
'04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere ...",636107,676068,697527,674069,641710,665096.2
'05,"Products of animal origin, not elsewhere specified or included",3819,5171,4528,11024,7544,6417.2
'06,"Live trees and other plants; bulbs, roots and the like; cut flowers and ornamental foliage",108086,116942,113983,114248,117273,114106.4
'07,Edible vegetables and certain roots and tubers,187660,207675,226655,267730,289854,235914.8
'08,Edible fruit and nuts; peel of citrus fruit or melons,240347,376951,376449,452580,386570,366579.4
'09,"Coffee, tea, maté and spices",125262,142583,115109,128310,135279,129308.6
'10,Cereals,27784,43343,50635,51581,64032,47475
'11,Products of the milling industry; malt; starches; inulin; wheat gluten,90373,90401,97150,99774,101059,95751.4
'12,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit; industrial or medicinal ...",35408,31116,37970,43743,39531,37553.6
'13,"Lac; gums, resins and other vegetable saps and extracts",8524,8901,7031,8806,8317,8315.8
'14,Vegetable plaiting materials; vegetable products not elsewhere specified or included,91530,77012,127620,160117,139502,119156.2
'15,"Animal, vegetable or microbial fats and oils and their cleavage products; prepared edible fats; ...",13489259,19691656,23665106,16897188,18761095,18500860.8
'16,"Preparations of meat, of fish, of crustaceans, molluscs or other aquatic invertebrates, or ...",299692,358022,391404,390355,348776,357649.8
'17,Sugars and sugar confectionery,285800,318502,340030,348084,342820,327047.2
'18,Cocoa and cocoa preparations,1483042,1658890,1778810,1801706,3296994,2003888.4
'19,"Preparations of cereals, flour, starch or milk; pastrycooks' products",1246944,1511091,1723025,1886792,1979926,1669555.6
'20,"Preparations of vegetables, fruit, nuts or other parts of plants",142005,153041,150726,157770,202385,161185.4
'21,Miscellaneous edible preparations,1383984,1577312,1756582,1699635,1924697,1668442
'22,"Beverages, spirits and vinegar",541734,555246,587307,623838,593032,580231.4
'23,Residues and waste from the food industries; prepared animal fodder,642162,721731,840064,728405,775596,741591.6
'24,"Tobacco and manufactured tobacco substitutes; products, whether or not containing nicotine, ...",78374,50539,42611,79180,98703,69881.4
'25,"Salt; sulphur; earths and stone; plastering materials, lime and cement",388806,464029,510031,466735,460913,458102.8
'26,"Ores, slag and ash",1219602,1800960,2094693,2091798,1819769,1805364.4
'27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral ...",26457576,37277393,60601301,51696495,47552991,44717151.2
'28,"Inorganic chemicals; organic or inorganic compounds of precious metals, of rare-earth metals, ...",977309,1876002,2426238,1834071,1427535,1708231
'29,Organic chemicals,3423743,5841337,6123718,4899311,5365260,5130673.8
'30,Pharmaceutical products,330518,413933,468905,469291,472277,430984.8
'31,Fertilisers,592056,957991,1564815,915378,825003,971048.6
'32,"Tanning or dyeing extracts; tannins and their derivatives; dyes, pigments and other colouring ...",596795,873099,985015,891064,966500,862494.6
'33,"Essential oils and resinoids; perfumery, cosmetic or toilet preparations",411283,444537,458684,468387,528549,462288
'34,"Soap, organic surface-active agents, washing preparations, lubricating preparations, artificial ...",975180,1158155,1190222,1084593,1142109,1110051.8
'35,Albuminoidal substances; modified starches; glues; enzymes,151421,222844,241000,212577,206383,206845
'36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,14483,14072,16407,22847,28060,19173.8
'37,Photographic or cinematographic goods,136520,163134,163509,148309,129234,148141.2
'38,Miscellaneous chemical products,3973315,6058039,7065646,5643700,6161632,5780466.4
'39,Plastics and articles thereof,8181528,10284721,10266811,9043062,9705975,9496419.4
'40,Rubber and articles thereof,11188757,16719307,7613620,5512284,6722904,9551374.4
'41,Raw hides and skins (other than furskins) and leather,20462,21607,22700,21824,17696,20857.8
