Code,Product label,Exported value in 2020,Exported value in 2021,Exported value in 2022,Exported value in 2023,Exported value in 2024,"average"
'TOTAL,All products,17716469,17571783,20575773,23775412,26664502,21260787.8
'01,Live animals,358,787,236,674,451,501.2
'02,Meat and edible meat offal,1,4,0,0,462,93.4
'03,"Fish and crustaceans, molluscs and other aquatic invertebrates",353,357,328,543,1036,523.4
'04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere ...",3,849,4724,3483,3594,2530.6
'05,"Products of animal origin, not elsewhere specified or included",2,261,394,249,1627,506.6
'06,"Live trees and other plants; bulbs, roots and the like; cut flowers and ornamental foliage",2,0,6,34923,2,6986.6
'07,Edible vegetables and certain roots and tubers,3979,25042,7047,764053,692593,298542.8
'08,Edible fruit and nuts; peel of citrus fruit or melons,130978,187349,221222,675761,856488,414359.6
'09,"Coffee, tea, maté and spices",11481,28430,25763,18128,38794,24519.2
'10,Cereals,471157,423663,416548,1907560,1940891,1031963.8
'11,Products of the milling industry; malt; starches; inulin; wheat gluten,23878,20635,32321,31749,32842,28285
'12,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit; industrial or medicinal ...",1060,487,66,21146,14863,7524.4
'13,"Lac; gums, resins and other vegetable saps and extracts",434,299,441,194,94,292.4
'14,Vegetable plaiting materials; vegetable products not elsewhere specified or included,0,0,0,8,15,4.6
'15,"Animal, vegetable or microbial fats and oils and their cleavage products; prepared edible fats; ...",32169,57907,71027,55976,57748,54965.4
'16,"Preparations of meat, of fish, of crustaceans, molluscs or other aquatic invertebrates, or ...",0,0,75,44,81,40
'17,Sugars and sugar confectionery,52877,50773,55942,124333,105295,77844
'18,Cocoa and cocoa preparations,557,282,411,1189,18494,4186.6
'19,"Preparations of cereals, flour, starch or milk; pastrycooks' products",13111,13105,22953,22394,21098,18532.2
'20,"Preparations of vegetables, fruit, nuts or other parts of plants",32485,59614,84113,151797,175803,100762.4
'21,Miscellaneous edible preparations,879,1998,2664,2166,3650,2271.4
'22,"Beverages, spirits and vinegar",3768,1102,3363,2704,7374,3662.2
'23,Residues and waste from the food industries; prepared animal fodder,20262,39455,56295,75772,105174,59391.6
'24,"Tobacco and manufactured tobacco substitutes; products, whether or not containing nicotine, ...",12954,10321,7338,11324,12256,10838.6
'25,"Salt; sulphur; earths and stone; plastering materials, lime and cement",5051,11662,47940,114323,266979,89191
'26,"Ores, slag and ash",368,0,1,27232,26653,10850.8
'27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral ...",0,3,1,0,331,67
