Code,Product label,Exported value in 2020,Exported value in 2021,Exported value in 2022,Exported value in 2023,Exported value in 2024,"average exported value, US Dollar thousand"
TOTAL,All products,373909153,457749966,515077895,475472598,504878086,465417539.6
01,Live animals,13351,22744,28423,3075,4318,14382.2
02,Meat and edible meat offal,93721,142166,141227,131124,149739,131595.4
03,"Fish and crustaceans, molluscs and other aquatic invertebrates",177008,224701,228764,220828,198683,209996.8
04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere ...",252730,287402,339247,273041,285943,287672.6
05,"Products of animal origin, not elsewhere specified or included",12517,13929,16103,14458,11955,13792.4
06,"Live trees and other plants; bulbs, roots and the like; cut flowers and ornamental foliage",15804,16083,13618,9154,8713,12674.4
07,Edible vegetables and certain roots and tubers,29509,29936,26740,25949,33415,29109.8
08,Edible fruit and nuts; peel of citrus fruit or melons,121591,124404,118008,109699,117018,118144
09,"Coffee, tea, maté and spices",137043,139478,203611,190829,179765,170145.2
10,Cereals,47490,67387,57077,82437,109700,72818.2
11,Products of the milling industry; malt; starches; inulin; wheat gluten,61333,78045,70260,70085,77104,71365.4
12,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit; industrial or medicinal ...",67813,52859,61895,56769,53420,58551.2
13,"Lac; gums, resins and other vegetable saps and extracts",29399,39505,37230,37633,48383,38430
14,Vegetable plaiting materials; vegetable products not elsewhere specified or included,11821,9651,12925,10420,7432,10449.8
15,"Animal, vegetable or microbial fats and oils and their cleavage products; prepared edible fats; ...",273540,346301,465321,362633,322971,354153.2
16,"Preparations of meat, of fish, of crustaceans, molluscs or other aquatic invertebrates, or ...",73050,79908,78438,67596,66351,73068.6
17,Sugars and sugar confectionery,81281,90296,102518,104061,106316,96894.4
18,Cocoa and cocoa preparations,745875,811784,879162,844050,1303981,916970.4
19,"Preparations of cereals, flour, starch or milk; pastrycooks' products",1224968,1036988,1087578,1023387,962059,1066996
20,"Preparations of vegetables, fruit, nuts or other parts of plants",104574,110558,109382,87447,87745,99941.2
21,Miscellaneous edible preparations,6037879,6697980,7080780,5723832,6225634,6353221
22,"Beverages, spirits and vinegar",2289970,3045882,2825804,3365921,2867113,2878938
23,Residues and waste from the food industries; prepared animal fodder,310836,340286,344820,288364,278926,312646.4
24,"Tobacco and manufactured tobacco substitutes; products, whether or not containing nicotine, ...",675295,679470,449557,592760,590196,597455.6
25,"Salt; sulphur; earths and stone; plastering materials, lime and cement",35612,72230,78784,50910,66458,60798.8
26,"Ores, slag and ash",11848,13443,36653,27668,24465,22815.4
27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral ...",30250081,45964366,65663113,58877783,56224051,51395878.8
28,"Inorganic chemicals; organic or inorganic compounds of precious metals, of rare-earth metals, ...",674569,732030,710279,635513,639243,678326.8
29,Organic chemicals,11456157,13753345,13882146,14572711,11704887,13073849.2
30,Pharmaceutical products,8925984,10268877,9842829,11042024,8413046,9698552
31,Fertilisers,14488,17629,25303,20210,16466,18819.2
32,"Tanning or dyeing extracts; tannins and their derivatives; dyes, pigments and other colouring ...",1214990,1491324,1344943,1146532,1156150,1270787.8
33,"Essential oils and resinoids; perfumery, cosmetic or toilet preparations",9558908,10393092,10216444,9533477,9450656,9830515.4
34,"Soap, organic surface-active agents, washing preparations, lubricating preparations, artificial ...",1047019,1337978,1365343,1107497,1151179,1201803.2
35,Albuminoidal substances; modified starches; glues; enzymes,407837,456698,376885,337694,379548,391732.4
36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,33293,12632,14011,13225,16393,17910.8
37,Photographic or cinematographic goods,154222,174836,195258,196472,215083,187174.2
38,Miscellaneous chemical products,5911446,7187051,7715096,6750836,6688561,6850598
39,Plastics and articles thereof,12911292,15913254,15612295,12617483,13179710,14046806.8
40,Rubber and articles thereof,1556438,1795307,2015558,1779631,1764268,1782240.4
41,Raw hides and skins (other than furskins) and leather,57726,84891,94775,89743,76535,80734
42,"Articles of leather; saddlery and harness; travel goods, handbags and similar containers; articles ...",1538449,1459050,1741227,1963207,1221026,1584591.8
43,Furskins and artificial fur; manufactures thereof,3621,4145,7817,15301,21938,10564.4
44,Wood and articles of wood; wood charcoal,52869,64780,61191,59078,59103,59404.2
45,Cork and articles of cork,908,505,933,689,827,772.4
46,"Manufactures of straw, of esparto or of other plaiting materials; basketware and wickerwork",1516,1429,1764,1671,2181,1712.2
47,Pulp of wood or of other fibrous cellulosic material; recovered (waste and scrap) paper or ...,491912,288387,405504,605716,506118,459527.4
48,"Paper and paperboard; articles of paper pulp, of paper or of paperboard",1380891,1497672,1052605,1155062,1046871,1226620.2
49,"Printed books, newspapers, pictures and other products of the printing industry; manuscripts, ...",539358,496931,419056,410289,423047,457736.2
50,Silk,2488,1862,3049,2244,5970,3122.6
51,"Wool, fine or coarse animal hair; horsehair yarn and woven fabric",3881,4474,3434,4270,2183,3648.4
52,Cotton,20546,13774,14634,16499,12625,15615.6
53,Other vegetable textile fibres; paper yarn and woven fabrics of paper yarn,1109,1518,727,684,795,966.6
54,Man-made filaments; strip and the like of man-made textile materials,181966,247579,215682,158927,195119,199854.6
55,Man-made staple fibres,222914,304376,322587,264129,297727,282346.6
56,"Wadding, felt and nonwovens; special yarns; twine, cordage, ropes and cables and articles thereof",71563,53640,56691,56597,59360,59570.2
57,Carpets and other textile floor coverings,10309,9881,8171,10390,11157,9981.6
58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,17351,17826,18850,19314,29640,20596.2
59,"Impregnated, coated, covered or laminated textile fabrics; textile articles of a kind suitable ...",87693,93129,99108,103726,127291,102189.4
60,Knitted or crocheted fabrics,71630,84749,91265,85600,58292,78307.2
61,"Articles of apparel and clothing accessories, knitted or crocheted",511703,613527,666667,614046,584385,598065.6
62,"Articles of apparel and clothing accessories, not knitted or crocheted",505532,561196,613900,602121,550839,566717.6
63,Other made-up textile articles; sets; worn clothing and worn textile articles; rags,269676,264092,301715,126103,122313,216779.8
64,"Footwear, gaiters and the like; parts of such articles",456516,544068,716698,806521,719829,648726.4
65,Headgear and parts thereof,34183,39234,50824,54536,44331,44621.6
