Code,Product label,Exported value in 2020,Exported value in 2021,Exported value in 2022,Exported value in 2023,Exported value in 2024,"average"
TOTAL,All products,229277734,267492416,284106705,280087768,299249160,272042756.6
01,Live animals,742673,403004,156657,132752,199548,326926.8
02,Meat and edible meat offal,1165174,1089315,1348908,1547364,1609986,1352149.4
03,"Fish and crustaceans, molluscs and other aquatic invertebrates",1554675,1685762,1656623,1512123,1539311,1589698.8
04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere ...",338013,356453,373539,427081,472619,393541
05,"Products of animal origin, not elsewhere specified or included",53272,68011,85935,81068,76697,72996.6
06,"Live trees and other plants; bulbs, roots and the like; cut flowers and ornamental foliage",98834,122532,133088,132441,136946,124768.2
07,Edible vegetables and certain roots and tubers,992241,1649808,1831148,1494843,842638,1362135.6
08,Edible fruit and nuts; peel of citrus fruit or melons,4203637,6192672,5662313,6895677,6650673,5920994.4
09,"Coffee, tea, maté and spices",118195,119620,121565,145679,166375,134286.8
10,Cereals,3766293,3469737,4067821,5226740,6465699,4599258
11,Products of the milling industry; malt; starches; inulin; wheat gluten,1366437,1880593,2027216,1709474,1849698,1766683.6
12,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit; industrial or medicinal ...",208282,204239,226606,211867,227606,215720
13,"Lac; gums, resins and other vegetable saps and extracts",26329,36821,60646,43939,47748,43096.6
14,Vegetable plaiting materials; vegetable products not elsewhere specified or included,14062,13029,10483,13644,14367,13117
15,"Animal, vegetable or microbial fats and oils and their cleavage products; prepared edible fats; ...",499852,1385604,2009524,1503996,1591134,1398022
16,"Preparations of meat, of fish, of crustaceans, molluscs or other aquatic invertebrates, or ...",6557588,6005984,6976954,6415865,6998774,6591033
17,Sugars and sugar confectionery,2223506,1999856,3733020,4506415,3717537,3236066.8
18,Cocoa and cocoa preparations,37358,41581,69521,86582,100216,67051.6
19,"Preparations of cereals, flour, starch or milk; pastrycooks' products",1709275,1811346,1900839,1973104,2115447,1902002.2
20,"Preparations of vegetables, fruit, nuts or other parts of plants",2124518,2298331,2408875,2320727,2627503,2355990.8
21,Miscellaneous edible preparations,2485207,2627900,2741856,2705042,2972550,2706511
22,"Beverages, spirits and vinegar",1905399,1900053,1969563,2030109,2116338,1984292.4
23,Residues and waste from the food industries; prepared animal fodder,2215513,2714339,3146240,2812097,3360461,2849730
24,"Tobacco and manufactured tobacco substitutes; products, whether or not containing nicotine, ...",165599,217093,194406,215571,174393,193412.4
25,"Salt; sulphur; earths and stone; plastering materials, lime and cement",856314,884389,850963,698484,654103,788850.6
26,"Ores, slag and ash",93804,145351,155682,212654,241835,169865.2
