Code,Product label,Imported value in 2020,Imported value in 2021,Imported value in 2022,Imported value in 2023,Imported value in 2024,"average"
'TOTAL,All products,141622127,195694490,237447057,221739634,233658658,206032393.2
'01,Live animals,471010,572022,512305,352591,566363,494858.2
'02,Meat and edible meat offal,710544,965344,1072638,919051,844221,902359.6
'03,"Fish and crustaceans, molluscs and other aquatic invertebrates",256754,333393,535652,479568,350404,391154.2
'04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere ...",1156623,1394290,1989220,1474328,1479420,1498776.2
'05,"Products of animal origin, not elsewhere specified or included",149111,141120,118969,106162,97485,122569.4
'06,"Live trees and other plants; bulbs, roots and the like; cut flowers and ornamental foliage",8017,12103,11870,11717,11982,11137.8
'07,Edible vegetables and certain roots and tubers,846412,977240,952324,1013897,1096690,977312.6
'08,Edible fruit and nuts; peel of citrus fruit or melons,1271530,1499590,1500582,1445544,1660888,1475626.8
'09,"Coffee, tea, maté and spices",233192,325366,502077,537669,453093,410279.4
'10,Cereals,3021813,4073969,4455280,5952632,6816918,4864122.4
'11,Products of the milling industry; malt; starches; inulin; wheat gluten,286048,200618,383553,188704,421239,296032.4
'12,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit; industrial or medicinal ...",1420623,1919200,2180991,1950390,1929296,1880100
'13,"Lac; gums, resins and other vegetable saps and extracts",80670,92593,101312,87023,86415,89602.6
'14,Vegetable plaiting materials; vegetable products not elsewhere specified or included,1530,2148,2952,3919,3090,2727.8
'15,"Animal, vegetable or microbial fats and oils and their cleavage products; prepared edible fats; ...",220724,339501,370996,282182,373938,317468.2
'16,"Preparations of meat, of fish, of crustaceans, molluscs or other aquatic invertebrates, or ...",52215,65533,72610,64942,69962,65052.4
'17,Sugars and sugar confectionery,2276076,2751592,3446983,3361320,3550444,3077283
'18,Cocoa and cocoa preparations,650706,804299,822900,979638,1457779,943064.4
'19,"Preparations of cereals, flour, starch or milk; pastrycooks' products",477832,541279,568153,537210,484354,521765.6
'20,"Preparations of vegetables, fruit, nuts or other parts of plants",197760,222507,290513,350412,329670,278172.4
'21,Miscellaneous edible preparations,818696,1003593,1207036,1053078,1158567,1048194
'22,"Beverages, spirits and vinegar",122906,177124,198890,167531,152394,163769
