Code,Product label,Imported value in 2020,Imported value in 2021,Imported value in 2022,Imported value in 2023,Imported value in 2024,"average"
'TOTAL,All products,189559672,238321107,295092902,265972626,300081375,257805536.4
'01,Live animals,59563,69289,46724,55268,60256,58220
'02,Meat and edible meat offal,932608,1005344,1524219,1552386,1671326,1337176.6
'03,"Fish and crustaceans, molluscs and other aquatic invertebrates",919948,1111872,1329289,1230258,1120114,1142296.2
'04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere ...",1008134,1149381,1372652,1135635,1219563,1177073
'05,"Products of animal origin, not elsewhere specified or included",18194,25212,23421,18823,20927,21315.4
'06,"Live trees and other plants; bulbs, roots and the like; cut flowers and ornamental foliage",14212,17861,19084,22959,28626,20548.4
'07,Edible vegetables and certain roots and tubers,905658,988480,1023242,1103935,1344527,1073168.4
'08,Edible fruit and nuts; peel of citrus fruit or melons,802304,943034,958586,906340,1041266,930306
'09,"Coffee, tea, maté and spices",687475,693935,747130,722827,881925,746658.4
'10,Cereals,1778579,2146567,2482584,2529075,2677994,2322959.8
'11,Products of the milling industry; malt; starches; inulin; wheat gluten,463930,504533,642044,507700,539969,531635.2
'12,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit; industrial or medicinal ...",529179,690998,772052,677845,631309,660276.6
'13,"Lac; gums, resins and other vegetable saps and extracts",64147,77008,89311,76148,82401,77803
'14,Vegetable plaiting materials; vegetable products not elsewhere specified or included,7357,7008,6278,4316,4362,5864.2
'15,"Animal, vegetable or microbial fats and oils and their cleavage products; prepared edible fats; ...",2167868,3653121,4288860,2546775,2375725,3006469.8
'16,"Preparations of meat, of fish, of crustaceans, molluscs or other aquatic invertebrates, or ...",173700,173238,190886,164884,176836,175908.8
'17,Sugars and sugar confectionery,911203,1091423,1093354,1419394,1627623,1228599.4
'18,Cocoa and cocoa preparations,1220347,1508167,1387619,1838884,3819796,1954962.6
'19,"Preparations of cereals, flour, starch or milk; pastrycooks' products",887650,902990,1039626,1015926,1093670,987972.4
'20,"Preparations of vegetables, fruit, nuts or other parts of plants",371981,407481,519557,491774,528807,463920
'21,Miscellaneous edible preparations,1139367,1474788,1557593,1325690,1482066,1395900.8
'22,"Beverages, spirits and vinegar",443106,509647,711006,666072,671253,600216.8
'23,Residues and waste from the food industries; prepared animal fodder,1087132,1333638,1533699,1475178,1442067,1374342.8
'24,"Tobacco and manufactured tobacco substitutes; products, whether or not containing nicotine, ...",208904,146697,143902,172331,192901,172947
'25,"Salt; sulphur; earths and stone; plastering materials, lime and cement",435277,549932,780771,580849,603061,589978
'26,"Ores, slag and ash",2309418,3235747,3948754,3011812,2892609,3079668
'27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral ...",22656268,29870666,55463198,50834119,49048356,41574521.4
'28,"Inorganic chemicals; organic or inorganic compounds of precious metals, of rare-earth metals, ...",2216437,3048558,3844138,3340909,3377140,3165436.4
'29,Organic chemicals,3122462,4626516,5030322,4394407,4772872,4389315.8
'30,Pharmaceutical products,1741456,2738805,2220285,2303674,2406837,2282211.4
'31,Fertilisers,752377,1280630,2014076,1193965,1162216,1280652.8
'32,"Tanning or dyeing extracts; tannins and their derivatives; dyes, pigments and other colouring ...",740139,881467,870311,800608,924296,843364.2
'33,"Essential oils and resinoids; perfumery, cosmetic or toilet preparations",983022,1084112,1347081,1301125,1501254,1243318.8
'34,"Soap, organic surface-active agents, washing preparations, lubricating preparations, artificial ...",637085,731542,803406,689196,784208,729087.4
'35,Albuminoidal substances; modified starches; glues; enzymes,316720,377877,433019,394502,415385,387500.6
'36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,25946,31757,42303,35765,54888,38131.8
'37,Photographic or cinematographic goods,91056,111957,128156,107340,120851,111872
'38,Miscellaneous chemical products,3424289,4689372,6280077,5706518,4687729,4957597
'39,Plastics and articles thereof,7780980,9580352,10010088,8489915,9101237,8992514.4
'40,Rubber and articles thereof,3611884,5811300,4272673,3377898,4133861,4241523.2
'41,Raw hides and skins (other than furskins) and leather,69241,72446,70724,72111,69492,70802.8
'42,"Articles of leather; saddlery and harness; travel goods, handbags and similar containers; articles ...",398760,397994,611300,647791,671425,545454
'43,Furskins and artificial fur; manufactures thereof,30185,31353,34214,5431,4134,21063.4
