Code,Product label,Imported value in 2020,Imported value in 2021,Imported value in 2022,Imported value in 2023,Imported value in 2024,"average"
'TOTAL,All products,5321313,7237001,9188938,7488773,7294537,7306112.4
'01,Live animals,14999,32540,16359,9060,9759,16543.4
'02,Meat and edible meat offal,14259,16323,30081,29139,56358,29232
'03,"Fish and crustaceans, molluscs and other aquatic invertebrates",35917,49088,52834,51824,46304,47193.4
'04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere ...",44025,47640,46952,46136,42684,45487.4
'05,"Products of animal origin, not elsewhere specified or included",14,8,9,19,0,10
'06,"Live trees and other plants; bulbs, roots and the like; cut flowers and ornamental foliage",1236,2250,2534,2490,1576,2017.2
'07,Edible vegetables and certain roots and tubers,33760,42611,49351,43683,25263,38933.6
'08,Edible fruit and nuts; peel of citrus fruit or melons,48997,55148,69174,72239,53997,59911
'09,"Coffee, tea, maté and spices",8671,9203,9710,10063,8918,9313
'10,Cereals,42527,37540,43734,26689,45903,39278.6
'11,Products of the milling industry; malt; starches; inulin; wheat gluten,13826,19730,15532,16395,14968,16090.2
'12,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit; industrial or medicinal ...",2787,8205,11827,7721,9226,7953.2
'13,"Lac; gums, resins and other vegetable saps and extracts",238,290,530,436,144,327.6
'14,Vegetable plaiting materials; vegetable products not elsewhere specified or included,53,130,52,16,40,58.2
'15,"Animal, vegetable or microbial fats and oils and their cleavage products; prepared edible fats; ...",17339,20694,27026,21643,20772,21494.8
'16,"Preparations of meat, of fish, of crustaceans, molluscs or other aquatic invertebrates, or ...",19443,19749,24558,19446,19855,20610.2
'17,Sugars and sugar confectionery,10387,8917,8158,9945,9507,9382.8
'18,Cocoa and cocoa preparations,10564,12982,13136,12059,10038,11755.8
'19,"Preparations of cereals, flour, starch or milk; pastrycooks' products",67894,69012,68969,63826,58047,65549.6
'20,"Preparations of vegetables, fruit, nuts or other parts of plants",18450,18755,20020,19608,19548,19276.2
'21,Miscellaneous edible preparations,49032,45819,50590,47534,44047,47404.4
'22,"Beverages, spirits and vinegar",43609,49875,47319,48797,36104,45140.8
