Code,Product label,Imported value in 2020,Imported value in 2021,Imported value in 2022,Imported value in 2023,Imported value in 2024,average
TOTAL,All products,5023261,5871286,7615874,7075164,9240842,6965285.4
01,Live animals,320794,259578,143254,54611,79325,171512.4
02,Meat and edible meat offal,11993,9177,10464,12325,34538,15699.4
03,"Fish and crustaceans, molluscs and other aquatic invertebrates",4847,4405,8333,6883,6521,6197.8
04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere ...",10637,7925,8148,7737,34194,13728.2
05,"Products of animal origin, not elsewhere specified or included",744,526,1062,745,500,715.4
06,"Live trees and other plants; bulbs, roots and the like; cut flowers and ornamental foliage",3004,1821,3004,2362,1934,2425
07,Edible vegetables and certain roots and tubers,30885,24473,36469,30106,16976,27781.8
08,Edible fruit and nuts; peel of citrus fruit or melons,36476,41623,37125,21846,6070,28628
09,"Coffee, tea, maté and spices",5485,7774,5053,4121,3060,5098.6
10,Cereals,41137,30439,34992,26508,39668,34548.8
11,Products of the milling industry; malt; starches; inulin; wheat gluten,26029,30615,53846,55001,48868,42871.8
12,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit; industrial or medicinal ...",3982,4663,7302,8995,4180,5824.4
13,"Lac; gums, resins and other vegetable saps and extracts",35,50,163,7,1410,333
14,Vegetable plaiting materials; vegetable products not elsewhere specified or included,2,0,51,42,460,111
15,"Animal, vegetable or microbial fats and oils and their cleavage products; prepared edible fats; ...",10660,10716,13384,12665,15664,12617.8
16,"Preparations of meat, of fish, of crustaceans, molluscs or other aquatic invertebrates, or ...",3012,3363,7357,5292,13957,6596.2
17,Sugars and sugar confectionery,43361,62675,249689,198303,241599,159125.4
18,Cocoa and cocoa preparations,565,448,632,505,5378,1505.6
19,"Preparations of cereals, flour, starch or milk; pastrycooks' products",30730,29323,34860,39726,159907,58909.2
20,"Preparations of vegetables, fruit, nuts or other parts of plants",3339,3250,4610,4794,69052,17009
21,Miscellaneous edible preparations,17095,23127,31728,28465,136964,47475.8
22,"Beverages, spirits and vinegar",241877,250855,300034,243401,215758,250385
