Code,Product label,Imported value in 2020,Imported value in 2021,Imported value in 2022,Imported value in 2023,Imported value in 2024,average
TOTAL,All products,328822696,406912769,475516057,422530066,457612578,418278833.2
01,Live animals,201346,235896,211132,213637,203389,213080
02,Meat and edible meat offal,956207,1019326,1188712,1113371,1265539,1108631
03,"Fish and crustaceans, molluscs and other aquatic invertebrates",701562,806288,937179,895804,877057,843578
04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere ...",1059775,1197824,1350236,1164493,1120876,1178640.8
05,"Products of animal origin, not elsewhere specified or included",38049,38728,40765,37218,39001,38752.2
06,"Live trees and other plants; bulbs, roots and the like; cut flowers and ornamental foliage",69344,90330,96297,92737,96331,89007.8
07,Edible vegetables and certain roots and tubers,658308,667271,644268,635635,677395,656575.4
08,Edible fruit and nuts; peel of citrus fruit or melons,705665,742723,723808,719422,749853,728294.2
09,"Coffee, tea, maté and spices",231105,258689,334608,319417,308439,290451.6
10,Cereals,374745,326400,324550,388436,406006,364027.4
11,Products of the milling industry; malt; starches; inulin; wheat gluten,173175,182641,196383,178610,177789,181719.6
12,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit; industrial or medicinal ...",145593,156877,168729,153999,137576,152554.8
13,"Lac; gums, resins and other vegetable saps and extracts",51049,53105,51857,54746,60392,54229.8
14,Vegetable plaiting materials; vegetable products not elsewhere specified or included,17456,22961,36074,23422,23878,24758.2
15,"Animal, vegetable or microbial fats and oils and their cleavage products; prepared edible fats; ...",1573111,2291468,2988359,2736345,2378471,2393550.8
16,"Preparations of meat, of fish, of crustaceans, molluscs or other aquatic invertebrates, or ...",461536,496142,552582,521933,509804,508399.4
17,Sugars and sugar confectionery,263318,330346,364758,343197,340411,328406
18,Cocoa and cocoa preparations,523260,588469,620526,655236,1158273,709152.8
19,"Preparations of cereals, flour, starch or milk; pastrycooks' products",577968,628201,650320,672939,697995,645484.6
20,"Preparations of vegetables, fruit, nuts or other parts of plants",377756,389853,419995,392784,396127,395303
21,Miscellaneous edible preparations,1049108,1176664,1187536,1173535,1223937,1162156
