Product code,Product label,"exported value in 2020, US Dollar thousand","exported value in 2021, US Dollar thousand","exported value in 2022, US Dollar thousand","exported value in 2023, US Dollar thousand","exported value in 2024, US Dollar thousand","average"
'TOTAL,All products,17494444311,22148344040,24701959316,23633258628,23899979068,22375597073
'01,Live animals,22747342,24268564,23795577,27337232,28571905,25344124
'02,Meat and edible meat offal,134737616,153571092,165077136,161773568,170153343,157062551
'03,"Fish and crustaceans, molluscs and other aquatic invertebrates",112246515,133757353,148323412,139489961,137266892,134216826.6
'04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere ...",90656672,102639468,114135398,112118189,115338044,106977554.2
'05,"Products of animal origin, not elsewhere specified or included",10037403,11504460,11917011,11480704,11436586,11275232.8
'06,"Live trees and other plants; bulbs, roots and the like; cut flowers and ornamental foliage",22443564,27992589,25515516,25823299,26968801,25748753.8
'07,Edible vegetables and certain roots and tubers,76770752,83507595,85588773,95845967,100630325,88468682.4
'08,Edible fruit and nuts; peel of citrus fruit or melons,133867563,146503926,139081595,146571801,160647093,145334395.6
'09,"Coffee, tea, maté and spices",52324616,59281120,68139425,64688640,74527836,63792327.4
'10,Cereals,119308611,153395288,180471862,167620623,151299342,154419145.2
'11,Products of the milling industry; malt; starches; inulin; wheat gluten,20341273,23868619,28213385,29222995,27220632,25773380.8
'12,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit; industrial or medicinal ...",109978500,130801125,152750699,149775429,133880310,135437212.6
'13,"Lac; gums, resins and other vegetable saps and extracts",7962455,9312189,11062050,9582181,9608548,9505484.6
'14,Vegetable plaiting materials; vegetable products not elsewhere specified or included,1272353,1453074,1692555,1843211,1816296,1615497.8
'15,"Animal, vegetable or microbial fats and oils and their cleavage products; prepared edible fats; ...",102098117,150341129,176437542,148567208,149989847,145486768.6
'16,"Preparations of meat, of fish, of crustaceans, molluscs or other aquatic invertebrates, or ...",53273145,58911124,62221232,61816199,64096686,60063677.2
'17,Sugars and sugar confectionery,43226947,49317239,58911024,68609842,69120668,57837144
'18,Cocoa and cocoa preparations,49924398,56179175,54976850,61949721,91618975,62929823.8
'19,"Preparations of cereals, flour, starch or milk; pastrycooks' products",81506865,88651825,97557177,107782376,111911967,97482042
'20,"Preparations of vegetables, fruit, nuts or other parts of plants",64379970,71619118,78416402,85571168,90571106,78111552.8
'21,Miscellaneous edible preparations,83866589,95479143,99387439,105859755,112534189,99425423
'22,"Beverages, spirits and vinegar",119240035,140774788,148334613,150541503,151238283,142025844.4
'23,Residues and waste from the food industries; prepared animal fodder,80759059,100390617,108572507,110525449,108150132,101679552.8
'24,"Tobacco and manufactured tobacco substitutes; products, whether or not containing nicotine, ...",42271791,44147351,53089210,62425213,59880665,52362846
'25,"Salt; sulphur; earths and stone; plastering materials, lime and cement",41385949,52505257,66523414,67213133,56334236,56792397.8
'26,"Ores, slag and ash",254018643,379917827,330742533,338602020,344834955,329623195.6
'27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral ...",1592826578,2551317249,4123743137,3336696985,2985287000,2917974190
'28,"Inorganic chemicals; organic or inorganic compounds of precious metals, of rare-earth metals, ...",118170695,161582801,230913666,198337228,176983040,177197486
'29,Organic chemicals,384661417,486261458,541339154,496187817,490263281,479742625.4
'30,Pharmaceutical products,680638785,827914968,845001242,837661334,906377544,819518774.6
'31,Fertilisers,55579988,84469994,134596768,91405399,85180931,90246616
'32,"Tanning or dyeing extracts; tannins and their derivatives; dyes, pigments and other colouring ...",78889621,95207245,92733882,86682337,90193712,88741359.4
'33,"Essential oils and resinoids; perfumery, cosmetic or toilet preparations",144976047,167651393,170098309,182378598,189630096,170946888.6
'34,"Soap, organic surface-active agents, washing preparations, lubricating preparations, artificial ...",66699873,75807161,79701606,78738319,81383704,76466132.6
