Product code,Product label,"imported value in 2020, US Dollar thousand","imported value in 2021, US Dollar thousand","imported value in 2022, US Dollar thousand","imported value in 2023, US Dollar thousand","imported value in 2024, US Dollar thousand","average"
TOTAL,All products,17727610451,22450819760,25322777860,23946292315,24090360830,22707572243
01,Live animals,23108085,24795900,25379502,29029448,29448663,26352319.6
02,Meat and edible meat offal,136206202,152274202,165920823,162053532,170728690,157436689.8
03,"Fish and crustaceans, molluscs and other aquatic invertebrates",114014559,135486086,149494520,141636128,138895745,135905407.6
04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere ...",92494780,102911565,116478185,114816282,116014643,108543091
05,"Products of animal origin, not elsewhere specified or included",9519362,11280148,12230582,11863315,11548602,11288401.8
06,"Live trees and other plants; bulbs, roots and the like; cut flowers and ornamental foliage",20498520,25384497,23914138,23874770,24651200,23664625
07,Edible vegetables and certain roots and tubers,77221509,84115825,89225937,97312986,102029017,89981054.8
08,Edible fruit and nuts; peel of citrus fruit or melons,141876957,158416511,154539552,160247270,172802622,157576582.4
09,"Coffee, tea, maté and spices",51075961,57696521,70285888,65912895,73589945,63712242
10,Cereals,130635164,172085660,204201223,187042586,164358686,171664663.8
11,Products of the milling industry; malt; starches; inulin; wheat gluten,21074190,24401518,29565517,30043101,27702583,26557381.8
12,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit; industrial or medicinal ...",115385091,147997065,167167575,160694087,144713463,147191456.2
13,"Lac; gums, resins and other vegetable saps and extracts",8108401,9102736,10564207,9339422,9250843,9273121.8
14,Vegetable plaiting materials; vegetable products not elsewhere specified or included,1525666,1888688,2148264,1939158,2097186,1919792.4
15,"Animal, vegetable or microbial fats and oils and their cleavage products; prepared edible fats; ...",105993381,153446363,185453022,158580785,155748331,151844376.4
16,"Preparations of meat, of fish, of crustaceans, molluscs or other aquatic invertebrates, or ...",48479739,51815045,56606517,56248206,58225560,54275013.4
17,Sugars and sugar confectionery,46309776,53361150,63103379,72434305,73421968,61726115.6
18,Cocoa and cocoa preparations,50517182,56394685,55492040,62981667,91793230,63435760.8
19,"Preparations of cereals, flour, starch or milk; pastrycooks' products",81910775,88705939,98119953,108048245,112393041,97835590.6
20,"Preparations of vegetables, fruit, nuts or other parts of plants",62537899,68400340,77265564,83338526,90050078,76318481.4
21,Miscellaneous edible preparations,85525670,96404679,103024103,108391480,115208170,101710820.4
22,"Beverages, spirits and vinegar",120514788,141315911,151723642,153345221,154281585,144236229.4
23,Residues and waste from the food industries; prepared animal fodder,86502152,107111247,119617274,118245349,113813221,109057848.6
24,"Tobacco and manufactured tobacco substitutes; products, whether or not containing nicotine, ...",46427809,47573577,50176471,58590205,58930376,52339687.6
25,"Salt; sulphur; earths and stone; plastering materials, lime and cement",51089169,66783099,83833465,82510831,66866496,70216612
26,"Ores, slag and ash",289290503,436988445,374414439,373383693,384827875,371780991
27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral ...",1638044982,2665092144,4213093897,3373551009,3080653362,2994087079
28,"Inorganic chemicals; organic or inorganic compounds of precious metals, of rare-earth metals, ...",119113159,157794580,229147008,201047925,179966761,177413886.6
29,Organic chemicals,414976832,531541790,618650767,544534917,519782990,525897459.2
30,Pharmaceutical products,715124280,859915706,893016476,886948633,952977415,861596502
31,Fertilisers,65028270,98072573,153362865,103361397,93357010,102636423
32,"Tanning or dyeing extracts; tannins and their derivatives; dyes, pigments and other colouring ...",80675815,96340032,97070560,89360422,91480927,90985551.2
33,"Essential oils and resinoids; perfumery, cosmetic or toilet preparations",147438496,169576204,174392032,183093423,192244670,173348965
34,"Soap, organic surface-active agents, washing preparations, lubricating preparations, artificial ...",67907558,77458839,81817400,79892979,82107878,77836930.8
35,Albuminoidal substances; modified starches; glues; enzymes,33301504,40052328,44495193,42291843,42815008,40591175.2
36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,4212666,4812752,5831104,6048454,6946527,5570300.6
37,Photographic or cinematographic goods,13768581,15482553,15473669,14404865,15642794,14954492.4
38,Miscellaneous chemical products,237138550,302971429,345257919,303087985,284104206,294512017.8
39,Plastics and articles thereof,612762935,802578818,833038290,722081046,738880203,741868258.4
40,Rubber and articles thereof,182062291,240324902,238087483,223014416,231061464,222910111.2
41,Raw hides and skins (other than furskins) and leather,14970093,19103719,18997662,17029135,16467036,17313529
42,"Articles of leather; saddlery and harness; travel goods, handbags and similar containers; articles ...",66989047,81191458,92909269,93443968,92259198,85358588
43,Furskins and artificial fur; manufactures thereof,2860212,4197622,3480311,3675382,3342604,3511226.2
44,Wood and articles of wood; wood charcoal,138748568,190845664,196588661,156501952,156059553,167748879.6
45,Cork and articles of cork,1913907,2192679,2352100,2509732,2179537,2229591
46,"Manufactures of straw, of esparto or of other plaiting materials; basketware and wickerwork",2041060,2823122,2954912,2242579,2390218,2490378.2
47,Pulp of wood or of other fibrous cellulosic material; recovered (waste and scrap) paper or ...,45435586,60276368,70451457,62555658,63931934,60530200.6
48,"Paper and paperboard; articles of paper pulp, of paper or of paperboard",158662192,184221849,214348845,190018002,191228802,187695938
49,"Printed books, newspapers, pictures and other products of the printing industry; manuscripts, ...",36123814,39598031,38990148,37061714,35400154,37434772.2
50,Silk,1058835,1222290,1651976,1594292,1523204,1410119.4
51,"Wool, fine or coarse animal hair; horsehair yarn and woven fabric",8396671,10344476,11541986,10946235,9705575,10186988.6
52,Cotton,40713269,54913969,59702164,45749660,47653305,49746473.4
53,Other vegetable textile fibres; paper yarn and woven fabrics of paper yarn,3960617,5228988,5648891,5681633,6554041,5414834
54,Man-made filaments; strip and the like of man-made textile materials,35689750,46849021,51731167,46385814,49619683,46055087
55,Man-made staple fibres,30660529,37967822,40577016,35903780,37002788,36422387
56,"Wadding, felt and nonwovens; special yarns; twine, cordage, ropes and cables and articles thereof",27199916,30225958,29610657,27496615,28411434,28588916
57,Carpets and other textile floor coverings,13343875,16995661,16403032,15345284,16025274,15622625.2
58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,8883993,10940879,11018527,9936327,11121157,10380176.6
59,"Impregnated, coated, covered or laminated textile fabrics; textile articles of a kind suitable ...",20549786,24983861,25920258,24544138,26073351,24414278.8
60,Knitted or crocheted fabrics,26774271,35036706,35465653,30586695,34524470,32477559
61,"Articles of apparel and clothing accessories, knitted or crocheted",187366530,233006713,263277617,231767383,241612365,231406121.6
62,"Articles of apparel and clothing accessories, not knitted or crocheted",189051901,201680063,231151896,217457051,220925831,212053348.4
63,Other made-up textile articles; sets; worn clothing and worn textile articles; rags,123314176,82539145,78641688,66959292,70013140,84293488.2
64,"Footwear, gaiters and the like; parts of such articles",124563261,145197014,173673917,159691194,162961261,153217329.4
65,Headgear and parts thereof,9521581,12293435,15232939,13578455,13793599,12884001.8
66,"Umbrellas, sun umbrellas, walking sticks, seat-sticks, whips, riding-crops and parts thereof",2705604,3423012,3907411,3183301,3511990,3346263.6
67,Prepared feathers and down and articles made of feathers or of down; artificial flowers; articles ...,5471215,7898420,8902759,7640087,8974053,7777306.8
68,"Articles of stone, plaster, cement, asbestos, mica or similar materials",47456059,58117156,60489700,57433814,58416137,56382573.2
69,Ceramic products,45870698,58119146,62387006,55127175,56183505,55537506
70,Glass and glassware,73100710,87867850,90743247,87066444,87159667,85187583.6
71,"Natural or cultured pearls, precious or semi-precious stones, precious metals, metals clad ...",720604540,880136498,928059612,947949051,958762793,887102498.8
72,Iron and steel,339535364,555100119,592281138,497317526,467825987,490412026.8
73,Articles of iron or steel,277343663,344151615,382559851,368246354,366479149,347756126.4
74,Copper and articles thereof,154476750,229326474,232969507,215434863,238778663,214197251.4
75,Nickel and articles thereof,25000514,33738733,47551033,45983504,41748701,38804497
76,Aluminium and articles thereof,163425848,232998106,277704598,235151498,241771171,230210244.2
78,Lead and articles thereof,6534354,8829646,9013525,9311870,9875510,8712981
79,Zinc and articles thereof,16300333,20357837,23024143,19905446,18929828,19703517.4
80,Tin and articles thereof,4433764,8345677,9439898,7018822,7209777,7289587.6
81,Other base metals; cermets; articles thereof,17481380,23704147,31963156,25285825,26243247,24935551
82,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof of base metal",59796244,72768443,72533755,69332698,70889433,69064114.6
83,Miscellaneous articles of base metal,66029396,81512503,85119578,80355075,85728229,79748956.2
84,"Nuclear reactors, boilers, machinery and mechanical appliances; parts thereof",2164117135,2560992565,2647939347,2665267217,2880250474,2583713348
85,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers, television ...",2963950258,3621299670,3817988318,3668009567,3795121033,3573273769
86,"Railway or tramway locomotives, rolling stock and parts thereof; railway or tramway track fixtures ...",26601690,30939619,33044708,35364178,35224019,32234842.8
87,"Vehicles other than railway or tramway rolling stock, and parts and accessories thereof",1291288176,1516668964,1628522804,1918941284,1872598612,1645603968
88,"Aircraft, spacecraft, and parts thereof",159712373,162119189,179409108,218944155,239661873,191969339.6
89,"Ships, boats and floating structures",65653337,75760622,79917953,72213465,99528294,78614734.2
90,"Optical, photographic, cinematographic, measuring, checking, precision, medical or surgical ...",604131870,689140330,671488823,686336295,705746923,671368848.2
91,Clocks and watches and parts thereof,41718997,55718160,56615635,60719930,60112309,54977006.2
92,Musical instruments; parts and accessories of such articles,7054852,8588065,8699020,7663909,7498501,7900869.4
93,Arms and ammunition; parts and accessories thereof,12337659,14201330,16736754,18530633,24617077,17284690.6
94,"Furniture; bedding, mattresses, mattress supports, cushions and similar stuffed furnishings; ...",231856681,289050927,292818498,260810073,274590961,269825428
95,"Toys, games and sports requisites; parts and accessories thereof",120961164,160719695,162213212,145868888,142576913,146467974.4
96,Miscellaneous manufactured articles,48181932,55401917,59355586,58210617,59870171,56204044.6
97,"Works of art, collectors' pieces and antiques",19102197,28384888,31619684,35855998,32528679,29498289.2
99,Commodities not elsewhere specified,277182209,403408961,442754543,448527096,395752996,393525161
