Code,Product label,Exported value in 2020,Exported value in 2021,Exported value in 2022,Exported value in 2023,Exported value in 2024,
'TOTAL,All products,6132785,7164608,9563892,6042418,11078358,7996412.2
'01,Live animals,294284,256568,132323,36243,454,143974.4
'02,Meat and edible meat offal,5607,4013,2910,4459,2,3398.2
'03,"Fish and crustaceans, molluscs and other aquatic invertebrates",43,21,59,254,84,92.2
'04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere ...",401,61,502,4340,,1326
'05,"Products of animal origin, not elsewhere specified or included",9,187,106,109,83,98.8
'06,"Live trees and other plants; bulbs, roots and the like; cut flowers and ornamental foliage",863,1067,2290,1172,344,1147.2
'07,Edible vegetables and certain roots and tubers,239892,322259,709678,370151,414437,411283.4
'08,Edible fruit and nuts; peel of citrus fruit or melons,297229,309153,292709,261382,104769,253048.4
'09,"Coffee, tea, maté and spices",90991,106241,107020,107176,81821,98649.8
'10,Cereals,90203,54452,70249,53579,121504,77997.4
'11,Products of the milling industry; malt; starches; inulin; wheat gluten,47185,58030,90543,128428,288878,122612.8
'12,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit; industrial or medicinal ...",13519,14500,15386,12731,109675,33162.2
'13,"Lac; gums, resins and other vegetable saps and extracts",1635,2300,1838,1203,8836,3162.4
'14,Vegetable plaiting materials; vegetable products not elsewhere specified or included,1324,4408,4666,977,1660,2607
'15,"Animal, vegetable or microbial fats and oils and their cleavage products; prepared edible fats; ...",390,148,76,47,801,292.4
'16,"Preparations of meat, of fish, of crustaceans, molluscs or other aquatic invertebrates, or ...",0,109,30,14,548,140.2
'17,Sugars and sugar confectionery,85080,100971,241016,273185,21504,144351.2
'18,Cocoa and cocoa preparations,0,0,20,0,449,93.8
'19,"Preparations of cereals, flour, starch or milk; pastrycooks' products",267,640,118,181,13,243.8
'20,"Preparations of vegetables, fruit, nuts or other parts of plants",3428,3314,2394,3397,4527,3412
'21,Miscellaneous edible preparations,5238,7991,8220,4889,5389,6345.4
'22,"Beverages, spirits and vinegar",234421,230723,244250,210678,10703,186155
'23,Residues and waste from the food industries; prepared animal fodder,1321,708,1947,2334,3515,1965
'24,"Tobacco and manufactured tobacco substitutes; products, whether or not containing nicotine, ...",41064,42184,32822,39280,39240,38918
'25,"Salt; sulphur; earths and stone; plastering materials, lime and cement",84779,116065,676444,242188,160103,255915.8
'26,"Ores, slag and ash",568751,632366,904940,964636,1121797,838498
'27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral ...",1903834,1646692,2386274,110384,2381838,1685804.4
'28,"Inorganic chemicals; organic or inorganic compounds of precious metals, of rare-earth metals, ...",39029,36225,100153,68778,389921,126821.2
'29,Organic chemicals,1399,3142,2291,1833,2000,2133
'30,Pharmaceutical products,47,103,48,103,1061,272.4
'31,Fertilisers,138781,148461,329554,410832,844348,374395.2
'32,"Tanning or dyeing extracts; tannins and their derivatives; dyes, pigments and other colouring ...",1646,2552,2830,2375,2841,2448.8
'33,"Essential oils and resinoids; perfumery, cosmetic or toilet preparations",8469,9859,12741,10849,11074,10598.4
'34,"Soap, organic surface-active agents, washing preparations, lubricating preparations, artificial ...",179,171,264,593,65,254.4
'35,Albuminoidal substances; modified starches; glues; enzymes,0,10,6,36,1,10.6
'36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,373,785,1026,1422,1249,971
'37,Photographic or cinematographic goods,0,0,0,0,,0
'38,Miscellaneous chemical products,1113,1203,3362,3807,8998,3696.6
'39,Plastics and articles thereof,39142,25953,15516,7583,12226,20084
'40,Rubber and articles thereof,215091,287776,382363,312404,572007,353928.2
'41,Raw hides and skins (other than furskins) and leather,93,2,13,104,21,46.6
'42,"Articles of leather; saddlery and harness; travel goods, handbags and similar containers; articles ...",1649,1092,1316,999,1871,1385.4
