Code,Product label,Imported value in 2020,Imported value in 2021,Imported value in 2022,Imported value in 2023,Imported value in 2024,
'TOTAL,All products,90758564,124386497,145889817,133758994,134882435,125935261.4
'01,Live animals,23909,39550,15659,29932,29115,27633
'02,Meat and edible meat offal,976071,1846098,2240447,1832886,2061780,1791456.4
'03,"Fish and crustaceans, molluscs and other aquatic invertebrates",453570,625660,756629,786248,712921,667005.6
'04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere ...",1100590,1202238,1625546,1283954,1379783,1318422.2
'05,"Products of animal origin, not elsewhere specified or included",12539,20420,31974,26524,42233,26738
'06,"Live trees and other plants; bulbs, roots and the like; cut flowers and ornamental foliage",1712,2319,2117,1624,1510,1856.4
'07,Edible vegetables and certain roots and tubers,157418,189241,185753,207815,213325,190710.4
'08,Edible fruit and nuts; peel of citrus fruit or melons,646301,736933,539972,567457,660920,630316.6
'09,"Coffee, tea, maté and spices",134162,137505,193819,211655,312120,197852.2
'10,Cereals,2674798,3448060,4328546,4045841,5121911,3923831.2
'11,Products of the milling industry; malt; starches; inulin; wheat gluten,226407,255863,334569,331077,302628,290108.8
'12,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit; industrial or medicinal ...",180480,236697,280606,242863,232226,234574.4
'13,"Lac; gums, resins and other vegetable saps and extracts",34995,46869,61739,47787,41512,46580.4
'14,Vegetable plaiting materials; vegetable products not elsewhere specified or included,2022,572,1529,1647,935,1341
'15,"Animal, vegetable or microbial fats and oils and their cleavage products; prepared edible fats; ...",968932,1601508,1988104,1204872,1455399,1443763
'16,"Preparations of meat, of fish, of crustaceans, molluscs or other aquatic invertebrates, or ...",104488,131066,170022,158664,144554,141758.8
'17,Sugars and sugar confectionery,398257,451312,769810,1034392,783104,687375
'18,Cocoa and cocoa preparations,171269,208720,302920,323190,441073,289434.4
'19,"Preparations of cereals, flour, starch or milk; pastrycooks' products",583963,561742,695568,669342,734440,649011
'20,"Preparations of vegetables, fruit, nuts or other parts of plants",290846,340210,453453,518839,500683,420806.2
'21,Miscellaneous edible preparations,1587627,1834617,1980086,1952365,2067916,1884522.2
'22,"Beverages, spirits and vinegar",515988,682464,872271,1014932,941029,805336.8
'23,Residues and waste from the food industries; prepared animal fodder,1492021,2057459,2791434,2418742,2379331,2227797.4
'24,"Tobacco and manufactured tobacco substitutes; products, whether or not containing nicotine, ...",251353,290030,316983,348809,273962,296227.4
'25,"Salt; sulphur; earths and stone; plastering materials, lime and cement",597020,777321,839573,762792,722263,739793.8
'26,"Ores, slag and ash",523484,1049734,1932411,3997841,3404350,2181564
'27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral ...",8070885,15474412,25753480,21202545,20251241,18150512.6
'28,"Inorganic chemicals; organic or inorganic compounds of precious metals, of rare-earth metals, ...",429389,688933,1124291,821055,758884,764510.4
'29,Organic chemicals,1115214,1605510,1690270,1219711,1287244,1383589.8
'30,Pharmaceutical products,1703647,3700823,2703677,2351755,2325847,2557149.8
'31,Fertilisers,626642,860905,1259373,979738,857192,916770
'32,"Tanning or dyeing extracts; tannins and their derivatives; dyes, pigments and other colouring ...",393211,577152,553813,539590,563384,525430
'33,"Essential oils and resinoids; perfumery, cosmetic or toilet preparations",937869,1007519,1167754,1248051,1313521,1134942.8
'34,"Soap, organic surface-active agents, washing preparations, lubricating preparations, artificial ...",464142,511461,617569,567536,595311,551203.8
'35,Albuminoidal substances; modified starches; glues; enzymes,259134,482299,485164,405405,356043,397609
'36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,19310,27630,31036,34324,42596,30979.2
'37,Photographic or cinematographic goods,27542,36068,35878,43077,38212,36155.4
'38,Miscellaneous chemical products,1409453,1856110,1710899,1477613,1707168,1632248.6
'39,Plastics and articles thereof,3159467,4411647,4576232,4145327,4490571,4156648.8
'40,Rubber and articles thereof,576410,881971,834742,927844,944673,833128
'41,Raw hides and skins (other than furskins) and leather,55206,121337,140002,134063,118085,113738.6
